,sub_sub_category
334,Basketballs
335,Floorball accessory
336,Floorball balls
337,Floorball goals
338,Floorball sticks
339,Cricket bats
340,Protective equipment
341,Rugby balls
342,Football gloves
343,Footballs
344,Helmets
345,Bike bags & baskets
346,Bike bells
347,Bike carts & tandem bike trailers
348,Bike child seats
349,Bike computers & bike sensors
350,E-bike batteries & chargers
351,E-city bikes
352,E-mountainbikes
353,E-road bikes
354,Bmx bikes
355,City bikes
356,"""Kids bikes"""
357,Mountainbikes
358,Road bikes
359,Bicycle forks
360,Bicycle frames
361,Bicycle tires
362,Bike saddles
363,Brakes
364,Air beds
365,Bug protection
366,Camping cooking equipment
367,Camping furniture
368,Cool bags & boxes
369,Clothing
370,Fishing accessories
371,Lines
372,Lures
373,Reels
374,Binoculars
375,Laser rangefinders
376,Monoculars
377,Night vision binoculars
378,Spotting scopes
379,Telescopes
380,Padel bags & covers
381,Padel balls
382,Padel rackets
383,Badminton rackets
384,Badminton set & net
385,Badminton strings
386,Shuttlecocks
387,Table tennis balls
388,Table tennis bats
389,Table tennis blades
390,Table tennis nets
391,Table tennis rubbers
392,Tennis bags & covers
393,Tennis balls
394,Tennis rackets
395,Squash balls
396,Squash rackets
397,Pickleball balls
398,Pickleball paddles
399,Pickleball sets
400,Inline skates
401,Roller skates
402,Roller skating accessories
403,Complete skateboards
404,Cruisers
405,Decks
406,Longboards
407,Skateboard accessories
408,Alpine protection
409,Avalanche equipment
410,Balaclavas
411,Buffs
412,Goggles
413,Cross country boots
414,Cross country ski bindings
415,Cross country ski poles
416,Cross country skis
417,Roller skiing
418,Hockey goalie equipment
419,Ice hockey accessories 
420,Ice hockey helmets
421,Ice hockey sticks
422,Player protective
423,Figure skates
424,Ice hockey skates
425,Ice skates
426,Ice skating accessories
427,Downhill boots
428,Downhill ski bindings
429,Downhill ski poles
430,Downhill skis
431,Ski skins
432,Snowboard bindings
433,Snowboard boots
434,Snowboards
435,Bluetooth adapters
436,Network cards
437,Wireless network cards
438,Controllers
439,Cpu coolers
440,Fans
441,Graphics card coolers
442,Hdd coolers
443,Capture & video cards
444,Tv cards
445,3d mice
446,Gaming mice
447,Pen mice
448,Rollerbars
449,Standard mice
450,Carbon rolls
451,Developers
452,Fusers
453,Ink
454,Opc drums
455,Cases & covers
456,Docking stations
457,Keyboards
458,Screen protectors
459,Stylus pens
460,Tablet holders
461,3d-printers
462,Filaments
463,Memory cards
464,Usb flash drives
465,Adapters
466,Cable clips & cable accessories
467,Cable ties
468,Dimmers
469,Doorbells
470,Doorhandles & knobs
471,Fixings
472,Insulation strips
473,Putty & building chemicals
474,Tape
475,Decking timber
476,Roof windows
477,Top hung windows
478,Carports
479,Firewood shed
480,Garden storage units
481,Sheds
482,Linoleum flooring
483,Outdoor flooring
484,Plastic flooring
485,Wood flooring
486,Plastic roofing
487,Roof entrance
488,Electric fireplaces
489,Ethanol fireplaces
490,Fireplace accessories
491,Wood stoves
492,Air heating pump
493,Sewer
494,Water
495,Fan radiators
496,Oil radiators
497,Panel radiators
498,Radiator covers
499,Burners
500,Carving machines
501,Cement mixers
502,Compressors
503,Demolition hammers
504,Hammer drills
505,Impact wrenches
506,Screwdrivers
507,Set
508,Band saws
509,Circular saws
510,Drywall cutters
511,Jigsaws
512,Miter saws
513,Axes
514,Brush tools
515,Chisels
516,Clamps
517,Crowbars
518,Grinders & sanders
519,Polisher
520,Audiobooks
521,Books
522,E-books
523,3d blu rays
524,4k blu-ray
525,Blu-ray
526,Dvd-movies
527,Built in cooktops
528,Freestanding cooktops
529,Cast iron cookers
530,Gas cookers
531,Induction cookers
532,Chest freezers
533,Freestanding freezers
534,Integrated freezers
535,Upright freezers
536,Freestanding refrigerators
537,Integrated refrigerators
538,Mini fridges
539,Wine coolers
540,Wine storage cabinets
